https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1635811200000,2021-11-02 00:00:00,BNB/USDT,551.110,564.280,537.200,554.590,1246273.32,687216073.79464,892337
1635724800000,2021-11-01 00:00:00,BNB/USDT,524.440,551.800,511.000,551.120,1733053.90,923536484.13535,1115886
1635638400000,2021-10-31 00:00:00,BNB/USDT,528.960,535.390,508.070,524.420,1276264.15,666142963.35148,896097
1635552000000,2021-10-30 00:00:00,BNB/USDT,530.730,541.610,510.450,528.950,1516125.34,797657532.49224,1042129
1635465600000,2021-10-29 00:00:00,BNB/USDT,492.090,534.300,487.320,530.720,2235759.06,1141866446.37453,1320361
1635379200000,2021-10-28 00:00:00,BNB/USDT,448.650,495.050,446.500,492.080,2095795.42,999405759.57091,1123237
1635292800000,2021-10-27 00:00:00,BNB/USDT,478.500,486.890,429.900,448.650,2213199.66,1015080174.23197,1144979
1635206400000,2021-10-26 00:00:00,BNB/USDT,485.410,490.700,473.570,478.480,977459.18,473312299.81459,655584
1635120000000,2021-10-25 00:00:00,BNB/USDT,476.290,489.030,475.320,485.400,833991.56,403735337.84395,598632
1635033600000,2021-10-24 00:00:00,BNB/USDT,486.200,487.000,468.190,476.290,862521.13,411646222.22048,625620
1634947200000,2021-10-23 00:00:00,BNB/USDT,479.770,486.270,473.140,486.170,870750.58,418885462.84393,616902
1634860800000,2021-10-22 00:00:00,BNB/USDT,471.310,498.510,471.240,479.790,2057825.78,998464854.41456,1132916
1634774400000,2021-10-21 00:00:00,BNB/USDT,500.770,505.460,464.620,471.350,3216610.62,1565062775.76099,1577975
1634688000000,2021-10-20 00:00:00,BNB/USDT,486.990,506.660,480.000,500.760,1581775.06,783096885.85075,911246
1634601600000,2021-10-19 00:00:00,BNB/USDT,484.600,497.500,478.210,487.010,1697627.88,828320571.68599,970291
1634515200000,2021-10-18 00:00:00,BNB/USDT,470.740,487.670,465.550,484.640,2036957.10,969124188.62335,1097997
1634428800000,2021-10-17 00:00:00,BNB/USDT,465.020,471.230,451.840,470.820,1335988.84,620943063.82237,818144
1634342400000,2021-10-16 00:00:00,BNB/USDT,474.180,485.000,455.000,465.010,1725462.12,815090711.86666,965587
1634256000000,2021-10-15 00:00:00,BNB/USDT,472.040,477.400,451.480,474.190,2472831.89,1152086774.74280,1189131
1634169600000,2021-10-14 00:00:00,BNB/USDT,470.170,482.270,460.110,472.050,2477903.86,1171119424.07960,1193870
1634083200000,2021-10-13 00:00:00,BNB/USDT,444.730,471.770,433.000,470.180,7057279.47,3214234566.04597,2647639
1633996800000,2021-10-12 00:00:00,BNB/USDT,413.360,445.000,392.140,444.720,4640823.04,1964065617.21748,1712761
1633910400000,2021-10-11 00:00:00,BNB/USDT,404.110,424.460,399.740,413.360,1406226.85,582833751.66687,803895
1633824000000,2021-10-10 00:00:00,BNB/USDT,422.310,422.580,401.330,404.100,1370097.95,568834845.11968,781494
