https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1634515200000,2021-10-18 00:00:00,LINK/USDT,26.568,26.762,25.270,25.732,12611938.14,327473108.51719,604653
1634428800000,2021-10-17 00:00:00,LINK/USDT,27.245,27.662,25.551,26.568,13290033.72,356587943.54801,547909
1634342400000,2021-10-16 00:00:00,LINK/USDT,27.037,28.755,26.968,27.246,19737947.97,548696040.00278,755240
1634256000000,2021-10-15 00:00:00,LINK/USDT,26.748,27.424,26.027,27.035,17871679.07,477416345.11564,713114
1634169600000,2021-10-14 00:00:00,LINK/USDT,25.695,27.911,25.401,26.750,20559605.25,553649810.05962,782259
1634083200000,2021-10-13 00:00:00,LINK/USDT,24.650,25.694,24.161,25.694,15314746.33,379343710.68944,600342
1633996800000,2021-10-12 00:00:00,LINK/USDT,25.228,25.260,23.518,24.661,16337652.02,398483658.88018,585226
1633910400000,2021-10-11 00:00:00,LINK/USDT,25.549,26.800,24.634,25.227,13656149.84,352925771.38840,488590
1633824000000,2021-10-10 00:00:00,LINK/USDT,27.474,27.519,25.445,25.553,12614528.93,336977597.11173,503422
1633737600000,2021-10-09 00:00:00,LINK/USDT,26.417,27.958,26.043,27.474,13949460.53,377011242.80119,523178
1633651200000,2021-10-08 00:00:00,LINK/USDT,26.866,27.500,26.048,26.410,14155528.00,380660702.73697,532773
1633564800000,2021-10-07 00:00:00,LINK/USDT,26.821,27.766,25.912,26.865,16591059.97,446782793.89814,691164
1633478400000,2021-10-06 00:00:00,LINK/USDT,27.266,28.228,25.207,26.817,19230728.31,516613986.43748,730782
1633392000000,2021-10-05 00:00:00,LINK/USDT,26.627,27.526,26.181,27.265,13388192.14,358932472.85215,591371
1633305600000,2021-10-04 00:00:00,LINK/USDT,27.585,27.677,25.568,26.626,14460884.33,384387614.02699,598196
1633219200000,2021-10-03 00:00:00,LINK/USDT,26.883,28.186,26.502,27.584,11797690.30,321900794.75584,527425
1633132800000,2021-10-02 00:00:00,LINK/USDT,26.325,27.813,25.822,26.884,12292347.50,328931217.80340,532927
1633046400000,2021-10-01 00:00:00,LINK/USDT,23.988,26.717,23.571,26.318,16521365.32,419173400.32846,631733
1632960000000,2021-09-30 00:00:00,LINK/USDT,22.845,24.382,22.704,23.987,14088364.97,335059729.69006,546624
1632873600000,2021-09-29 00:00:00,LINK/USDT,22.077,23.921,22.000,22.843,14326954.97,329954014.49859,562988
1632787200000,2021-09-28 00:00:00,LINK/USDT,23.004,23.736,21.977,22.076,16758362.77,385953180.59464,652566
1632700800000,2021-09-27 00:00:00,LINK/USDT,24.591,25.465,22.945,23.004,15441266.27,372711692.53126,626706
1632614400000,2021-09-26 00:00:00,LINK/USDT,24.486,25.363,22.336,24.588,28349018.41,683394627.35026,1083835
1632528000000,2021-09-25 00:00:00,LINK/USDT,23.256,24.689,22.029,24.485,16302762.14,379476838.37377,765188
1632441600000,2021-09-24 00:00:00,LINK/USDT,25.411,25.499,21.334,23.257,22558434.39,521629345.49300,941533
1632355200000,2021-09-23 00:00:00,LINK/USDT,24.443,25.475,23.401,25.414,15260122.74,373418041.70431,630257
1632268800000,2021-09-22 00:00:00,LINK/USDT,21.429,24.506,21.012,24.443,16431579.61,378307037.27712,711110
1632182400000,2021-09-21 00:00:00,LINK/USDT,23.568,24.379,20.802,21.433,25485235.11,583099762.97558,1025644
1632096000000,2021-09-20 00:00:00,LINK/USDT,27.387,27.444,22.969,23.572,27453333.02,680741315.24293,1079763
1632009600000,2021-09-19 00:00:00,LINK/USDT,28.411,28.821,26.921,27.389,9916863.13,277194879.86451,457639
1631923200000,2021-09-18 00:00:00,LINK/USDT,27.761,29.463,27.402,28.415,10969450.53,313636533.24945,519850
