https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1655251200000,2022-06-15 00:00:00,ETH/USDT,1208.32,1249.40,1012.42,1236.49,15639610.636,17507842534.93348,10548450
1655164800000,2022-06-14 00:00:00,ETH/USDT,1209.03,1268.90,1073.00,1208.32,12336657.753,14657104013.43293,8775174
1655078400000,2022-06-13 00:00:00,ETH/USDT,1434.35,1454.58,1162.00,1209.04,17351785.758,21941467145.70480,11630101
1654992000000,2022-06-12 00:00:00,ETH/USDT,1532.19,1548.81,1421.00,1434.35,6016472.456,8893071858.23435,4851150
1654905600000,2022-06-11 00:00:00,ETH/USDT,1661.95,1680.97,1498.93,1532.19,4960438.976,7778168198.17592,4297898
1654819200000,2022-06-10 00:00:00,ETH/USDT,1788.03,1803.82,1650.00,1661.95,3608897.284,6228607832.37609,3277219
1654732800000,2022-06-09 00:00:00,ETH/USDT,1791.01,1832.70,1776.32,1788.03,1839669.689,3309798407.29703,2003405
1654646400000,2022-06-08 00:00:00,ETH/USDT,1812.62,1840.13,1763.87,1791.02,2628755.953,4737579638.63843,2724564
1654560000000,2022-06-07 00:00:00,ETH/USDT,1859.10,1875.00,1722.00,1812.61,4087315.102,7291656503.16585,3844005
1654473600000,2022-06-06 00:00:00,ETH/USDT,1805.40,1919.33,1803.52,1859.11,2917516.330,5476426770.55326,2889524
1654387200000,2022-06-05 00:00:00,ETH/USDT,1803.70,1830.00,1772.19,1805.39,1432385.263,2579985158.45067,1629794
1654300800000,2022-06-04 00:00:00,ETH/USDT,1774.16,1815.48,1747.45,1803.71,1318917.819,2339470640.78652,1493088
1654214400000,2022-06-03 00:00:00,ETH/USDT,1833.37,1843.33,1733.01,1774.15,2363750.458,4201383506.66514,2551203
1654128000000,2022-06-02 00:00:00,ETH/USDT,1817.16,1852.99,1780.48,1833.37,2390879.573,4344141365.88604,2532259
1654041600000,2022-06-01 00:00:00,ETH/USDT,1941.68,1972.77,1758.52,1817.10,3499271.987,6601368863.36227,3352330
1653955200000,2022-05-31 00:00:00,ETH/USDT,1997.87,2016.77,1922.00,1941.68,2655076.664,5223236544.60503,2673228
1653868800000,2022-05-30 00:00:00,ETH/USDT,1812.46,2013.56,1801.52,1997.87,3264009.122,6239500143.71399,3107210
1653782400000,2022-05-29 00:00:00,ETH/USDT,1791.75,1829.00,1755.25,1812.45,1640982.631,2945787959.89123,1697706
1653696000000,2022-05-28 00:00:00,ETH/USDT,1726.55,1809.33,1721.30,1791.74,2072895.705,3668617968.70122,2346794
1653609600000,2022-05-27 00:00:00,ETH/USDT,1790.99,1821.85,1694.97,1726.55,4743622.208,8357706808.10210,4743781
1653523200000,2022-05-26 00:00:00,ETH/USDT,1942.01,1965.28,1725.00,1791.02,4404820.882,8138603051.65734,3994873
1653436800000,2022-05-25 00:00:00,ETH/USDT,1978.56,2022.74,1933.00,1942.00,2151769.493,4241561280.90225,2334490
1653350400000,2022-05-24 00:00:00,ETH/USDT,1972.45,1993.72,1911.38,1978.56,2077293.838,4070659059.88736,2291743
1653264000000,2022-05-23 00:00:00,ETH/USDT,2042.63,2088.60,1955.01,1972.45,2340762.693,4768428725.69658,2556218
1653177600000,2022-05-22 00:00:00,ETH/USDT,1973.94,2056.73,1965.25,2042.63,1433318.968,2881685469.42391,1628984
1653091200000,2022-05-21 00:00:00,ETH/USDT,1958.69,1990.75,1935.52,1973.94,1160939.760,2287008380.25312,1526957
1653004800000,2022-05-20 00:00:00,ETH/USDT,2019.45,2064.74,1922.00,1958.69,2606153.056,5192199953.44636,2798031
1652918400000,2022-05-19 00:00:00,ETH/USDT,1914.19,2039.30,1901.70,2019.46,2582771.916,5090224818.55394,3023880
1652832000000,2022-05-18 00:00:00,ETH/USDT,2090.00,2110.89,1906.61,1914.20,2331823.162,4654040139.80995,2734722
1652745600000,2022-05-17 00:00:00,ETH/USDT,2022.79,2124.10,2006.71,2090.00,1960680.703,4051495838.11071,2560883
1652659200000,2022-05-16 00:00:00,ETH/USDT,2144.06,2144.07,1976.00,2022.89,2642704.669,5366648840.78374,3369143
1652572800000,2022-05-15 00:00:00,ETH/USDT,2054.99,2174.32,2000.00,2144.07,1621232.284,3360404560.97969,2384401
1652486400000,2022-05-14 00:00:00,ETH/USDT,2008.48,2068.60,1950.07,2055.00,1712302.978,3446491889.91870,2633388
1652400000000,2022-05-13 00:00:00,ETH/USDT,1959.79,2149.99,1939.33,2008.49,2799355.876,5809760462.83815,3966227
1652313600000,2022-05-12 00:00:00,ETH/USDT,2083.98,2193.70,1775.43,1959.78,5639772.981,10971252687.57215,7561911
